titre,titre_origine,score,genre,annee,duree,description,acteurs,public,pays
Dark,,8.7,"['Crime', 'Drama', 'Mystery']",2017–2020,1h,"A family saga with a supernatural twist, set in a German town where the disappearance of two young children exposes the relationships among four families.","['Louis Hofmann', 'Karoline Eichhorn', 'Lisa Vicari']",TV-MA,Germany
Ted Lasso,,8.8,"['Comedy', 'Drama', 'Sport']",2020– ,30m,"American college football coach Ted Lasso heads to London to manage AFC Richmond, a struggling English Premier League football team.","['Brendan Hunt', 'Joe Kelly', 'Bill Lawrence', 'Jason Sudeikis', 'Brett Goldstein', 'Hannah Waddingham']",TV-MA,United States
Steins;Gate,,8.8,"['Animation', 'Comedy', 'Drama']",2011–2015,24m,"After discovering time travel, a university student and his colleagues must use their knowledge of it to stop an evil organization and their diabolical plans.","['Mamoru Miyano', 'Asami Imai', 'Kana Hanazawa']",TV-14,Japan
Oz,,8.7,"['Crime', 'Drama', 'Thriller']",1997–2003,55m,A series chronicling the daily activities of an unusual prison facility and its criminal inhabitants.,"['Ernie Hudson', 'J.K. Simmons', 'Lee Tergesen']",TV-MA,United States
Peaky Blinders,,8.8,"['Crime', 'Drama']",2013–2022,1h,"A gangster family epic set in 1900s England, centering on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby.","['Cillian Murphy', 'Paul Anderson', 'Sophie Rundle']",TV-MA,United Kingdom
Kota Factory,,9.0,"['Comedy', 'Drama']",2019–2021,45m,"Dedicated to Shrimati SL Loney ji, Shri Irodov ji and Maanniya HC Verma ji, 'Kota Factory' is TVF's latest original. India's first 'Black and White' show highlights the problems present day IIT-JEE aspirants face in their day-to-day lives.","['Mayur More', 'Jitendra Kumar', 'Ranjan Raj']",TV-14,India
Rome,,8.7,"['Action', 'Drama', 'Romance']",2005–2007,52m,A down-to-earth account of the lives of both illustrious and ordinary Romans set in the last days of the Roman Republic.,"['Kevin McKidd', 'Ray Stevenson', 'Polly Walker']",TV-MA,United Kingdom
Six Feet Under,,8.7,"['Comedy', 'Drama']",2001–2005,1h,A chronicle of the lives of a dysfunctional family who run an independent funeral home in Los Angeles.,"['Peter Krause', 'Michael C. Hall', 'Frances Conroy']",TV-MA,United States
"I, Claudius",,8.8,"['Biography', 'Drama', 'History']",1976,11h 9m,"The personal and governmental affairs of the Julio-Claudian dynasty at the beginning of the Roman Empire, as recalled by one of its rulers.","['Derek Jacobi', 'John Hurt', 'Siân Phillips']",Not Rated,United Kingdom
The Thick of It,,8.7,['Comedy'],2005–2012,29m,The Minister for Social Affairs is continually harassed by Number 10's policy enforcer and dependent on his not-so-reliable team of civil servants.,"['Chris Addison', 'James Smith', 'Peter Capaldi']",TV-MA,United Kingdom
Over the Garden Wall,,8.8,"['Animation', 'Short', 'Adventure']",2014,22m,Two brothers find themselves lost in a mysterious land and try to find their way home.,"['Elijah Wood', 'Collin Dean', 'Melanie Lynskey']",TV-PG,United States
One Piece,Original title: One Piece: Wan pîsu,8.9,"['Animation', 'Action', 'Adventure']",1999– ,24m,"Follows the adventures of Monkey D. Luffy and his pirate crew in order to find the greatest treasure ever left by the legendary Pirate, Gold Roger. The famous mystery treasure named ""One Piece"".","['Mayumi Tanaka', 'Laurent Vernin', 'Tony Beck']",TV-14,Japan
Dragon Ball Z,Original title: Dragon Ball Z: Doragon bôru zetto,8.8,"['Animation', 'Action', 'Adventure']",1989–1996,24m,"The adventures of Earth's martial arts defender, Son Goku, continue with a new family and the revelation of his alien origins. Now Goku and his allies must defend the planet from an onslaught of new extraterrestrial enemies.","['Jôji Yanami', 'Kyle Hebert', 'Masako Nozawa']",TV-PG,Japan
Dragon Ball Z,,8.8,"['Animation', 'Action', 'Adventure']",1989–1996,24m,"With the help of the powerful Dragonballs, a team of fighters led by the saiyan warrior Goku defend the planet earth from extraterrestrial enemies.","['Doc Harris', 'Christopher Sabat', 'Scott McNeil']",TV-PG,Japan
South Park,,8.7,"['Animation', 'Comedy']",1997– ,22m,"Follows the misadventures of four irreverent grade-schoolers in the quiet, dysfunctional town of South Park, Colorado.","['Trey Parker', 'Matt Stone', 'Isaac Hayes']",TV-14,United States
Chappelle's Show,,8.8,"['Comedy', 'Music']",2003–2006,22m,Comedian Dave Chappelle hosts this sketch-comedy show that parodies many of the nuances of race and culture.,"['Dave Chappelle', 'Donnell Rawlings', 'Rudy Rush']",TV-MA,United States
Black Mirror,,8.8,"['Drama', 'Mystery', 'Sci-Fi']",2011–2019,1h,"An anthology series exploring a twisted, high-tech multiverse where humanity's greatest innovations and darkest instincts collide.","['Daniel Lapaine', 'Hannah John-Kamen', 'Michaela Coel']",TV-MA,United Kingdom
Narcos,,8.8,"['Biography', 'Crime', 'Drama']",2015–2017,49m,"A chronicled look at the criminal exploits of Colombian drug lord Pablo Escobar, as well as the many other drug kingpins who plagued the country through the years.","['Carlo Bernard', 'Chris Brancato', 'Doug Miro', 'Pedro Pascal', 'Wagner Moura', 'Boyd Holbrook']",TV-MA,United States
BoJack Horseman,,8.8,"['Animation', 'Comedy', 'Drama']",2014–2020,25m,"BoJack Horseman was the star of the hit television show ""Horsin' Around"" in the '80s and '90s, but now he's washed up, living in Hollywood, complaining about everything, and wearing colorful sweaters.","['Will Arnett', 'Amy Sedaris', 'Alison Brie']",TV-MA,United States
Twin Peaks,,8.8,"['Crime', 'Drama', 'Mystery']",1990–1991,47m,An idiosyncratic FBI agent investigates the murder of a young woman in the even more idiosyncratic town of Twin Peaks.,"['Kyle MacLachlan', 'Michael Ontkean', 'Mädchen Amick']",TV-MA,United States
Pride and Prejudice,,8.8,"['Drama', 'Romance']",1995,5h 27m,"While the arrival of wealthy gentlemen sends her marriage-minded mother into a frenzy, willful and opinionated Elizabeth Bennet matches wits with haughty Mr. Darcy.","['Colin Firth', 'Jennifer Ehle', 'Susannah Harker']",TV-PG,United Kingdom
Freaks and Geeks,,8.8,"['Comedy', 'Drama']",1999–2000,44m,A high school mathlete starts hanging out with a group of burnouts while her younger brother navigates his freshman year.,"['Linda Cardellini', 'John Francis Daley', 'James Franco']",TV-14,United States
Blackadder Goes Forth,,8.8,"['Comedy', 'War']",1989,2h 55m,"Stuck in the middle of World War I, Captain Edmund Blackadder does his best to escape the banality of the war.","['Rowan Atkinson', 'Tony Robinson', 'Stephen Fry']",TV-PG,United Kingdom
Leyla and Mecnun,Original title: Leyla ile Mecnun,9.1,"['Adventure', 'Comedy', 'Drama']",2011–2023,1h 20m,"Turkish television comedy series set in Istanbul, Leyla and Mecnun is a surreal and absurd comedy that revolves around the fictional love story between Leyla and Mecnun.","['Ali Atay', 'Ahmet Mümtaz Taylan', 'Cengiz Bozkurt']",TV-PG,Turkey
Fawlty Towers,,8.8,['Comedy'],1975–1979,30m,"Hotel owner Basil Fawlty's incompetence, short fuse, and arrogance form a combination that ensures accidents and trouble are never far away.","['John Cleese', 'Prunella Scales', 'Andrew Sachs']",TV-PG,United Kingdom
Curb Your Enthusiasm,,8.8,['Comedy'],2000– ,28m,The life and times of Larry David and the predicaments he gets himself into with his friends and complete strangers.,"['Larry David', 'Cheryl Hines', 'Jeff Garlin']",TV-MA,United States
The West Wing,,8.9,['Drama'],1999–2006,44m,Inside the lives of staffers in the West Wing of the White House.,"['Martin Sheen', 'Rob Lowe', 'Allison Janney']",TV-14,United States
Succession,,8.8,"['Comedy', 'Drama']",2018–2023,1h,"The Roy family is known for controlling the biggest media and entertainment company in the world. However, their world changes when their father steps down from the company.","['Nicholas Braun', 'Brian Cox', 'Kieran Culkin']",TV-MA,United States
As If,Original title: Gibi,9.0,['Comedy'],2021– ,,Yilmaz and Ilkkan are two friends who are constantly fighting each other. Their greatest feature is always being able to do something that will turn their ordinary lives upside down.,"['Feyyaz Yigit', 'Kivanç Kilinç', 'Ahmet Kürsat Öçalan']",,Turkey
Das Boot,,8.8,"['Drama', 'War']",1985,4h 53m,A World War II German U-Boat crew have a terrifying patrol mission in the early days of the war.,"['Jürgen Prochnow', 'Herbert Grönemeyer', 'Klaus Wennemann']",TV-MA,West Germany
Taskmaster,,9.0,"['Comedy', 'Game-Show']",2015– ,47m,"Five comedians are set tasks challenging their creativity and wit. The tasks are supervised by Alex Horne but the Taskmaster, Greg Davies, always has the final word.","['Greg Davies', 'Alex Horne', 'Kerry Godliman']",TV-14,United Kingdom
Monty Python's Flying Circus,,8.8,['Comedy'],1969–1974,30m,The original surreal sketch comedy showcase for the Monty Python troupe.,"['Graham Chapman', 'Eric Idle', 'Terry Jones', 'Graham Chapman', 'John Cleese', 'Terry Gilliam']",TV-14,United Kingdom
It's Always Sunny in Philadelphia,,8.8,['Comedy'],2005– ,22m,Five friends with big egos and small brains are the proprietors of an Irish pub in Philadelphia.,"['Charlie Day', 'Rob McElhenney', 'Kaitlin Olson']",TV-MA,United States
The Last of Us,,8.9,"['Action', 'Adventure', 'Drama']",2023– ,50m,"After a global pandemic destroys civilization, a hardened survivor takes charge of a 14-year-old girl who may be humanity's last hope.","['Pedro Pascal', 'Bella Ramsey', 'Anna Torv']",TV-MA,Canada
TVF Pitchers,,9.1,"['Comedy', 'Drama']",2015–2022,40m,A story of trials and tribulations of four young entrepreneurs who quit their day jobs in order to pursue their start up venture.,"['Naveen Kasturia', 'Arunabh Kumar', 'Abhay Mahajan']",TV-MA,India
Africa,,8.9,['Documentary'],2013,6h,"Africa, the world's wildest continent. David Attenborough takes us on an awe-inspiring journey through one of the most diverse places in the world. We visit deserts, savannas, and jungles and meet up with some of Africa's amazing wildlife.","['David Attenborough', 'Simon Blakeney', 'Mark Deeble']",TV-PG,United Kingdom
Death Note,Original title: Death Note: Desu nôto,9.0,"['Animation', 'Crime', 'Drama']",2006–2007,23m,An intelligent high school student goes on a secret crusade to eliminate criminals from the world after discovering a notebook capable of killing anyone whose name is written into it.,"['Mamoru Miyano', 'Brad Swaile', 'Vincent Tong']",TV-14,Japan
Only Fools and Horses,Original title: Only Fools and Horses....,9.0,['Comedy'],1981–2003,1h 35m,Comedy that follows two brothers from London's rough Peckham estate as they wheel and deal through a number of dodgy deals and search for the big score that'll make them millionaires.,"['David Jason', 'Nicholas Lyndhurst', 'Roger Lloyd Pack']",TV-PG,United Kingdom
Clarkson's Farm,,9.0,"['Documentary', 'Comedy', 'Reality-TV']",2021– ,45m,Follow Jeremy Clarkson as he attempts to run a farm in the countryside.,"['Jeremy Clarkson', 'Kaleb Cooper', 'Charlie Ireland']",TV-PG,United Kingdom
Better Call Saul,,8.9,"['Crime', 'Drama']",2015–2022,46m,The trials and tribulations of criminal lawyer Jimmy McGill in the years leading up to his fateful run-in with Walter White and Jesse Pinkman.,"['Bob Odenkirk', 'Rhea Seehorn', 'Jonathan Banks']",TV-MA,United States
Firefly,,9.0,"['Adventure', 'Drama', 'Sci-Fi']",2002–2003,44m,"Five hundred years in the future, a renegade crew aboard a small spacecraft tries to survive as they travel the unknown parts of the galaxy and evade warring factions as well as authority agents out to get them.","['Nathan Fillion', 'Gina Torres', 'Alan Tudyk']",TV-14,United States
Frozen Planet,,9.0,['Documentary'],2011–2012,5h 33m,Focuses on life and the environment in both the Arctic and Antarctic.,"['David Attenborough', 'Alec Baldwin', 'Chadden Hunter']",TV-PG,United Kingdom
