titre,titre_origine,score,genre,annee,duree,description,acteurs,public,pays
Dekalog,,9.0,['Drama'],1989–1990,9h 32m,"Ten television drama films, each one based on one of the Ten Commandments.","['Artur Barcis', 'Olgierd Lukaszewicz', 'Olaf Lubaszenko']",TV-MA,Poland
Fargo,,8.9,"['Crime', 'Drama', 'Thriller']",2014–2023,53m,"Various chronicles of deception, intrigue and murder in and around frozen Minnesota. Yet all of these tales mysteriously lead back one way or another to Fargo, North Dakota.","['Billy Bob Thornton', 'Martin Freeman', 'Allison Tolman']",TV-MA,United States
Seinfeld,,8.9,['Comedy'],1989–1998,22m,The continuing misadventures of neurotic New York City stand-up comedian Jerry Seinfeld and his equally neurotic New York City friends.,"['Jerry Seinfeld', 'Julia Louis-Dreyfus', 'Michael Richards']",TV-PG,United States
True Detective,,8.9,"['Crime', 'Drama', 'Mystery']",2014– ,55m,"Seasonal anthology series in which police investigations unearth the personal and professional secrets of those involved, both within and outside the law.","['Vince Vaughn', 'Colin Farrell', 'Rachel McAdams']",TV-MA,United States
The Civil War,,9.1,"['Documentary', 'History', 'War']",1990,11h 20m,A comprehensive survey of the American Civil War.,"['David McCullough', 'Sam Waterston', 'Julie Harris']",TV-14,United States
Hunter x Hunter,,9.0,"['Animation', 'Action', 'Adventure']",2011–2014,24m,"Gon Freecss aspires to become a Hunter, an exceptional being capable of greatness. With his friends and his potential, he seeks out his father, who left him when he was younger.","['Issei Futamata', 'Megumi Han', 'Cristina Valenzuela']",TV-14,Japan
Black Books,,8.5,['Comedy'],2000–2004,25m,"Bernard Black runs a book shop, though his customer service skills leave something to be desired. He hires Manny as an employee. Fran runs the shop next door. Between the three of them many adventures ensue.","['Dylan Moran', 'Bill Bailey', 'Tamsin Greig']",TV-PG,United Kingdom
The Defiant Ones,,8.5,"['Documentary', 'Biography', 'Crime']",2017,1h,"""The Defiant Ones"" examines the partnership between Jimmy Iovine and Dr. Dre - one the son of a Brooklyn longshoreman, the other straight out of Compton - and their leading roles in a chain of transformative events in contemporary culture.","['Stevie Nicks', 'Bono', 'Tom Petty']",TV-MA,United States
Gintama,,8.7,"['Animation', 'Action', 'Comedy']",2005–2021,25m,"In an era where aliens have invaded and taken over feudal Tokyo, an unemployed samurai finds work however he can.","['Tomokazu Sugita', 'Daisuke Sakaguchi', 'Rie Kugimiya']",TV-14,Japan
It's Okay to Not Be Okay,Original title: Saikojiman Gwaenchanha,8.6,"['Comedy', 'Drama', 'Romance']",2020,1h 20m,An extraordinary road to emotional healing opens up for an selfish antisocial children's book writer and a selfless psych ward caretaker when they cross paths.,"['Kim Soo-hyun', 'Seo Ye-Ji', 'Oh Jung-se']",TV-MA,South Korea
The Knick,,8.5,"['Drama', 'History']",2014–2015,58m,A look at the professional and personal lives of the staff at New York's Knickerbocker Hospital during the early part of the twentieth century.,"['André Holland', 'Clive Owen', 'Jeremy Bobb']",TV-MA,United States
